yyyy-mm,departure_port,arrival_port,route,nonimal_fare_(AUD),real_fare_(AUD)
2024-Mar,Adelaide,Alice Springs,Adelaide - Alice Springs,461,461
2024-Mar,Adelaide,Brisbane,Adelaide - Brisbane,413,413
2024-Mar,Adelaide,Canberra,Adelaide - Canberra,666,666
2024-Mar,Adelaide,Darwin,Adelaide - Darwin,691,691
2024-Mar,Adelaide,Gold Coast,Adelaide - Gold Coast,344,344
2024-Mar,Adelaide,Melbourne,Adelaide - Melbourne,174,174
2024-Mar,Adelaide,Perth,Adelaide - Perth,674,674
2024-Mar,Adelaide,Port Lincoln,Adelaide - Port Lincoln,386,386
2024-Mar,Adelaide,Sydney,Adelaide - Sydney,293,293
2024-Mar,Albury,Sydney,Albury - Sydney,388,388
2024-Mar,Armidale,Sydney,Armidale - Sydney,376,376
2024-Mar,Avalon,Gold Coast,Avalon - Gold Coast,513,513
2024-Mar,Avalon,Sydney,Avalon - Sydney,208,208
2024-Mar,Ayers Rock,Sydney,Ayers Rock - Sydney,1065,1065
2024-Mar,Ballina,Sydney,Ballina - Sydney,88,88
2024-Mar,Brisbane,Cairns,Brisbane - Cairns,396,396
2024-Mar,Brisbane,Canberra,Brisbane - Canberra,512,512
2024-Mar,Brisbane,Darwin,Brisbane - Darwin,714,714
2024-Mar,Brisbane,Emerald,Brisbane - Emerald,604,604
2024-Mar,Brisbane,Gladstone,Brisbane - Gladstone,471,471
2024-Mar,Brisbane,Hamilton Island,Brisbane - Hamilton Island,534,534
2024-Mar,Brisbane,Hobart,Brisbane - Hobart,753,753
2024-Mar,Brisbane,Mackay,Brisbane - Mackay,290,290
2024-Mar,Brisbane,Melbourne,Brisbane - Melbourne,300,300
2024-Mar,Brisbane,Mount Isa,Brisbane - Mount Isa,699,699
2024-Mar,Brisbane,Perth,Brisbane - Perth,544,544
2024-Mar,Brisbane,Proserpine,Brisbane - Proserpine,381,381
2024-Mar,Brisbane,Rockhampton,Brisbane - Rockhampton,431,431
2024-Mar,Brisbane,Sydney,Brisbane - Sydney,274,274
2024-Mar,Brisbane,Townsville,Brisbane - Townsville,362,362
2024-Mar,Brisbane,Newcastle,Brisbane - Newcastle,208,208
2024-Mar,Broome,Perth,Broome - Perth,757,757
2024-Mar,Bundaberg,Brisbane,Bundaberg - Brisbane,362,362
2024-Mar,Cairns,Gold Coast,Cairns - Gold Coast,240,240
2024-Mar,Cairns,Melbourne,Cairns - Melbourne,440,440
2024-Mar,Cairns,Sydney,Cairns - Sydney,376,376
2024-Mar,Cairns,Townsville,Cairns - Townsville,348,348
2024-Mar,Canberra,Melbourne,Canberra - Melbourne,438,438
2024-Mar,Canberra,Sydney,Canberra - Sydney,437,437
2024-Mar,Coffs Harbour,Sydney,Coffs Harbour - Sydney,368,368
2024-Mar,Darwin,Melbourne,Darwin - Melbourne,814,814
2024-Mar,Darwin,Perth,Darwin - Perth,1132,1132
2024-Mar,Darwin,Sydney,Darwin - Sydney,1113,1113
2024-Mar,Devonport,Melbourne,Devonport - Melbourne,425,425
2024-Mar,Dubbo,Sydney,Dubbo - Sydney,388,388
2024-Mar,Gold Coast,Sydney,Gold Coast - Sydney,154,154
2024-Mar,Hamilton Island,Sydney,Hamilton Island - Sydney,242,242
2024-Mar,Hobart,Melbourne,Hobart - Melbourne,196,196
2024-Mar,Hobart,Sydney,Hobart - Sydney,233,233
2024-Mar,Kalgoorlie,Perth,Kalgoorlie - Perth,577,577
2024-Mar,Karratha,Perth,Karratha - Perth,929,929
2024-Mar,Launceston,Melbourne,Launceston - Melbourne,179,179
2024-Mar,Launceston,Sydney,Launceston - Sydney,204,204
2024-Mar,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,266,266
2024-Mar,Sunshine Coast,Sydney,Sunshine Coast - Sydney,227,227
2024-Mar,Melbourne,Gold Coast,Melbourne - Gold Coast,399,399
2024-Mar,Melbourne,Mildura,Melbourne - Mildura,398,398
2024-Mar,Melbourne,Perth,Melbourne - Perth,757,757
2024-Mar,Melbourne,Sydney,Melbourne - Sydney,279,279
2024-Mar,Melbourne,Townsville,Melbourne - Townsville,488,488
2024-Mar,Melbourne,Newcastle,Melbourne - Newcastle,216,216
2024-Mar,Paraburdoo,Perth,Paraburdoo - Perth,862,862
2024-Mar,Perth,Newman,Perth - Newman,891,891
2024-Mar,Perth,Port Hedland,Perth - Port Hedland,748,748
2024-Mar,Perth,Sydney,Perth - Sydney,723,723
2024-Mar,Port Macquarie,Sydney,Port Macquarie - Sydney,360,360
2024-Mar,Sydney,Tamworth,Sydney - Tamworth,442,442
2024-Mar,Sydney,Townsville,Sydney - Townsville,378,378
2024-Mar,Sydney,Wagga Wagga,Sydney - Wagga Wagga,378,378
2024-Mar,Newcastle,Gold Coast,Newcastle - Gold Coast,244,244
2024-Jan,Adelaide,Alice Springs,Adelaide - Alice Springs,661,661
2024-Jan,Adelaide,Brisbane,Adelaide - Brisbane,323,323
2024-Jan,Adelaide,Canberra,Adelaide - Canberra,543,543
2024-Jan,Adelaide,Darwin,Adelaide - Darwin,607,607
2024-Jan,Adelaide,Gold Coast,Adelaide - Gold Coast,256,256
2024-Jan,Adelaide,Melbourne,Adelaide - Melbourne,153,153
2024-Jan,Adelaide,Perth,Adelaide - Perth,430,430
2024-Jan,Adelaide,Port Lincoln,Adelaide - Port Lincoln,298,298
2024-Jan,Adelaide,Sydney,Adelaide - Sydney,247,247
2024-Jan,Albury,Sydney,Albury - Sydney,358,358
2024-Jan,Armidale,Sydney,Armidale - Sydney,432,432
2024-Jan,Avalon,Gold Coast,Avalon - Gold Coast,214,214
2024-Jan,Avalon,Sydney,Avalon - Sydney,134,134
2024-Jan,Ayers Rock,Sydney,Ayers Rock - Sydney,423,423
2024-Jan,Ballina,Sydney,Ballina - Sydney,108,108
2024-Jan,Brisbane,Cairns,Brisbane - Cairns,210,210
2024-Jan,Brisbane,Canberra,Brisbane - Canberra,370,370
2024-Jan,Brisbane,Darwin,Brisbane - Darwin,430,430
2024-Jan,Brisbane,Emerald,Brisbane - Emerald,594,594
2024-Jan,Brisbane,Gladstone,Brisbane - Gladstone,450,450
2024-Jan,Brisbane,Hamilton Island,Brisbane - Hamilton Island,383,383
2024-Jan,Brisbane,Hobart,Brisbane - Hobart,312,312
2024-Jan,Brisbane,Mackay,Brisbane - Mackay,162,162
2024-Jan,Brisbane,Melbourne,Brisbane - Melbourne,245,245
2024-Jan,Brisbane,Mount Isa,Brisbane - Mount Isa,850,850
2024-Jan,Brisbane,Perth,Brisbane - Perth,701,701
2024-Jan,Brisbane,Proserpine,Brisbane - Proserpine,194,194
2024-Jan,Brisbane,Rockhampton,Brisbane - Rockhampton,375,375
2024-Jan,Brisbane,Sydney,Brisbane - Sydney,163,163
2024-Jan,Brisbane,Townsville,Brisbane - Townsville,204,204
2024-Jan,Brisbane,Newcastle,Brisbane - Newcastle,132,132
2024-Jan,Broome,Perth,Broome - Perth,554,554
2024-Jan,Bundaberg,Brisbane,Bundaberg - Brisbane,425,425
2024-Jan,Cairns,Gold Coast,Cairns - Gold Coast,370,370
2024-Jan,Cairns,Melbourne,Cairns - Melbourne,317,317
2024-Jan,Cairns,Sydney,Cairns - Sydney,349,349
2024-Jan,Cairns,Townsville,Cairns - Townsville,318,318
2024-Jan,Canberra,Melbourne,Canberra - Melbourne,264,264
2024-Jan,Canberra,Sydney,Canberra - Sydney,438,438
2024-Jan,Coffs Harbour,Sydney,Coffs Harbour - Sydney,368,368
2024-Jan,Darwin,Melbourne,Darwin - Melbourne,519,519
2024-Jan,Darwin,Perth,Darwin - Perth,901,901
2024-Jan,Darwin,Sydney,Darwin - Sydney,435,435
2024-Jan,Devonport,Melbourne,Devonport - Melbourne,414,414
2024-Jan,Dubbo,Sydney,Dubbo - Sydney,418,418
2024-Jan,Gold Coast,Sydney,Gold Coast - Sydney,152,152
2024-Jan,Hamilton Island,Sydney,Hamilton Island - Sydney,420,420
2024-Jan,Hobart,Melbourne,Hobart - Melbourne,182,182
2024-Jan,Hobart,Sydney,Hobart - Sydney,241,241
2024-Jan,Kalgoorlie,Perth,Kalgoorlie - Perth,590,590
2024-Jan,Karratha,Perth,Karratha - Perth,969,969
2024-Jan,Launceston,Melbourne,Launceston - Melbourne,107,107
2024-Jan,Launceston,Sydney,Launceston - Sydney,235,235
2024-Jan,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,266,266
2024-Jan,Sunshine Coast,Sydney,Sunshine Coast - Sydney,186,186
2024-Jan,Melbourne,Gold Coast,Melbourne - Gold Coast,184,184
2024-Jan,Melbourne,Mildura,Melbourne - Mildura,298,298
2024-Jan,Melbourne,Perth,Melbourne - Perth,618,618
2024-Jan,Melbourne,Sydney,Melbourne - Sydney,186,186
2024-Jan,Melbourne,Townsville,Melbourne - Townsville,263,263
2024-Jan,Melbourne,Newcastle,Melbourne - Newcastle,225,225
2024-Jan,Paraburdoo,Perth,Paraburdoo - Perth,858,858
2024-Jan,Perth,Newman,Perth - Newman,876,876
2024-Jan,Perth,Port Hedland,Perth - Port Hedland,730,730
2024-Jan,Perth,Sydney,Perth - Sydney,593,593
2024-Jan,Port Macquarie,Sydney,Port Macquarie - Sydney,298,298
2024-Jan,Sydney,Tamworth,Sydney - Tamworth,440,440
2024-Jan,Sydney,Townsville,Sydney - Townsville,348,348
2024-Jan,Sydney,Wagga Wagga,Sydney - Wagga Wagga,358,358
2024-Jan,Newcastle,Gold Coast,Newcastle - Gold Coast,182,182
2024-Feb,Adelaide,Alice Springs,Adelaide - Alice Springs,510,510
2024-Feb,Adelaide,Brisbane,Adelaide - Brisbane,323,323
2024-Feb,Adelaide,Canberra,Adelaide - Canberra,526,526
2024-Feb,Adelaide,Darwin,Adelaide - Darwin,1043,1043
2024-Feb,Adelaide,Gold Coast,Adelaide - Gold Coast,318,318
2024-Feb,Adelaide,Melbourne,Adelaide - Melbourne,130,130
2024-Feb,Adelaide,Perth,Adelaide - Perth,430,430
2024-Feb,Adelaide,Port Lincoln,Adelaide - Port Lincoln,375,375
2024-Feb,Adelaide,Sydney,Adelaide - Sydney,268,268
2024-Feb,Albury,Sydney,Albury - Sydney,361,361
2024-Feb,Armidale,Sydney,Armidale - Sydney,434,434
2024-Feb,Avalon,Gold Coast,Avalon - Gold Coast,214,214
2024-Feb,Avalon,Sydney,Avalon - Sydney,100,100
2024-Feb,Ayers Rock,Sydney,Ayers Rock - Sydney,720,720
2024-Feb,Ballina,Sydney,Ballina - Sydney,157,157
2024-Feb,Brisbane,Cairns,Brisbane - Cairns,204,204
2024-Feb,Brisbane,Canberra,Brisbane - Canberra,248,248
2024-Feb,Brisbane,Darwin,Brisbane - Darwin,515,515
2024-Feb,Brisbane,Emerald,Brisbane - Emerald,664,664
2024-Feb,Brisbane,Gladstone,Brisbane - Gladstone,471,471
2024-Feb,Brisbane,Hamilton Island,Brisbane - Hamilton Island,393,393
2024-Feb,Brisbane,Hobart,Brisbane - Hobart,334,334
2024-Feb,Brisbane,Mackay,Brisbane - Mackay,180,180
2024-Feb,Brisbane,Melbourne,Brisbane - Melbourne,204,204
2024-Feb,Brisbane,Mount Isa,Brisbane - Mount Isa,828,828
2024-Feb,Brisbane,Perth,Brisbane - Perth,585,585
2024-Feb,Brisbane,Proserpine,Brisbane - Proserpine,254,254
2024-Feb,Brisbane,Rockhampton,Brisbane - Rockhampton,396,396
2024-Feb,Brisbane,Sydney,Brisbane - Sydney,178,178
2024-Feb,Brisbane,Townsville,Brisbane - Townsville,224,224
2024-Feb,Brisbane,Newcastle,Brisbane - Newcastle,183,183
2024-Feb,Broome,Perth,Broome - Perth,755,755
2024-Feb,Bundaberg,Brisbane,Bundaberg - Brisbane,426,426
2024-Feb,Cairns,Gold Coast,Cairns - Gold Coast,269,269
2024-Feb,Cairns,Melbourne,Cairns - Melbourne,350,350
2024-Feb,Cairns,Sydney,Cairns - Sydney,272,272
2024-Feb,Cairns,Townsville,Cairns - Townsville,406,406
2024-Feb,Canberra,Melbourne,Canberra - Melbourne,176,176
2024-Feb,Canberra,Sydney,Canberra - Sydney,418,418
2024-Feb,Coffs Harbour,Sydney,Coffs Harbour - Sydney,368,368
2024-Feb,Darwin,Melbourne,Darwin - Melbourne,766,766
2024-Feb,Darwin,Perth,Darwin - Perth,1081,1081
2024-Feb,Darwin,Sydney,Darwin - Sydney,458,458
2024-Feb,Devonport,Melbourne,Devonport - Melbourne,318,318
2024-Feb,Dubbo,Sydney,Dubbo - Sydney,358,358
2024-Feb,Gold Coast,Sydney,Gold Coast - Sydney,130,130
2024-Feb,Hamilton Island,Sydney,Hamilton Island - Sydney,324,324
2024-Feb,Hobart,Melbourne,Hobart - Melbourne,186,186
2024-Feb,Hobart,Sydney,Hobart - Sydney,178,178
2024-Feb,Kalgoorlie,Perth,Kalgoorlie - Perth,610,610
2024-Feb,Karratha,Perth,Karratha - Perth,864,864
2024-Feb,Launceston,Melbourne,Launceston - Melbourne,179,179
2024-Feb,Launceston,Sydney,Launceston - Sydney,142,142
2024-Feb,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,246,246
2024-Feb,Sunshine Coast,Sydney,Sunshine Coast - Sydney,150,150
2024-Feb,Melbourne,Gold Coast,Melbourne - Gold Coast,214,214
2024-Feb,Melbourne,Mildura,Melbourne - Mildura,298,298
2024-Feb,Melbourne,Perth,Melbourne - Perth,553,553
2024-Feb,Melbourne,Sydney,Melbourne - Sydney,100,100
2024-Feb,Melbourne,Townsville,Melbourne - Townsville,214,214
2024-Feb,Melbourne,Newcastle,Melbourne - Newcastle,206,206
2024-Feb,Paraburdoo,Perth,Paraburdoo - Perth,862,862
2024-Feb,Perth,Newman,Perth - Newman,891,891
2024-Feb,Perth,Port Hedland,Perth - Port Hedland,748,748
2024-Feb,Perth,Sydney,Perth - Sydney,774,774
2024-Feb,Port Macquarie,Sydney,Port Macquarie - Sydney,338,338
2024-Feb,Sydney,Tamworth,Sydney - Tamworth,377,377
2024-Feb,Sydney,Townsville,Sydney - Townsville,258,258
2024-Feb,Sydney,Wagga Wagga,Sydney - Wagga Wagga,400,400
2024-Feb,Newcastle,Gold Coast,Newcastle - Gold Coast,192,192
2023-Sep,Adelaide,Alice Springs,Adelaide - Alice Springs,607,611
2023-Sep,Adelaide,Brisbane,Adelaide - Brisbane,408,410
2023-Sep,Adelaide,Canberra,Adelaide - Canberra,647,651
2023-Sep,Adelaide,Darwin,Adelaide - Darwin,302,304
2023-Sep,Adelaide,Gold Coast,Adelaide - Gold Coast,347,349
2023-Sep,Adelaide,Melbourne,Adelaide - Melbourne,163,164
2023-Sep,Adelaide,Perth,Adelaide - Perth,508,511
2023-Sep,Adelaide,Port Lincoln,Adelaide - Port Lincoln,398,400
2023-Sep,Adelaide,Sydney,Adelaide - Sydney,198,199
2023-Sep,Albury,Sydney,Albury - Sydney,398,400
2023-Sep,Armidale,Sydney,Armidale - Sydney,398,400
2023-Sep,Avalon,Gold Coast,Avalon - Gold Coast,363,365
2023-Sep,Avalon,Sydney,Avalon - Sydney,148,149
2023-Sep,Ayers Rock,Sydney,Ayers Rock - Sydney,544,547
2023-Sep,Ballina,Sydney,Ballina - Sydney,90,91
2023-Sep,Brisbane,Cairns,Brisbane - Cairns,390,392
2023-Sep,Brisbane,Canberra,Brisbane - Canberra,464,467
2023-Sep,Brisbane,Darwin,Brisbane - Darwin,574,577
2023-Sep,Brisbane,Emerald,Brisbane - Emerald,658,662
2023-Sep,Brisbane,Gladstone,Brisbane - Gladstone,414,416
2023-Sep,Brisbane,Hamilton Island,Brisbane - Hamilton Island,474,477
2023-Sep,Brisbane,Hobart,Brisbane - Hobart,401,403
2023-Sep,Brisbane,Mackay,Brisbane - Mackay,298,300
2023-Sep,Brisbane,Melbourne,Brisbane - Melbourne,248,250
2023-Sep,Brisbane,Mount Isa,Brisbane - Mount Isa,890,895
2023-Sep,Brisbane,Perth,Brisbane - Perth,683,687
2023-Sep,Brisbane,Proserpine,Brisbane - Proserpine,416,419
2023-Sep,Brisbane,Rockhampton,Brisbane - Rockhampton,353,355
2023-Sep,Brisbane,Sydney,Brisbane - Sydney,168,169
2023-Sep,Brisbane,Townsville,Brisbane - Townsville,368,370
2023-Sep,Brisbane,Newcastle,Brisbane - Newcastle,166,167
2023-Sep,Broome,Perth,Broome - Perth,848,853
2023-Sep,Bundaberg,Brisbane,Bundaberg - Brisbane,407,409
2023-Sep,Cairns,Gold Coast,Cairns - Gold Coast,592,596
2023-Sep,Cairns,Melbourne,Cairns - Melbourne,530,533
2023-Sep,Cairns,Sydney,Cairns - Sydney,289,291
2023-Sep,Cairns,Townsville,Cairns - Townsville,378,380
2023-Sep,Canberra,Melbourne,Canberra - Melbourne,228,229
2023-Sep,Canberra,Sydney,Canberra - Sydney,451,454
2023-Sep,Coffs Harbour,Sydney,Coffs Harbour - Sydney,378,380
2023-Sep,Darwin,Melbourne,Darwin - Melbourne,720,724
2023-Sep,Darwin,Perth,Darwin - Perth,734,738
2023-Sep,Darwin,Sydney,Darwin - Sydney,711,715
2023-Sep,Devonport,Melbourne,Devonport - Melbourne,430,433
2023-Sep,Dubbo,Sydney,Dubbo - Sydney,438,441
2023-Sep,Gold Coast,Sydney,Gold Coast - Sydney,133,134
2023-Sep,Hamilton Island,Sydney,Hamilton Island - Sydney,314,316
2023-Sep,Hobart,Melbourne,Hobart - Melbourne,154,155
2023-Sep,Hobart,Sydney,Hobart - Sydney,174,175
2023-Sep,Kalgoorlie,Perth,Kalgoorlie - Perth,594,598
2023-Sep,Karratha,Perth,Karratha - Perth,783,788
2023-Sep,Launceston,Melbourne,Launceston - Melbourne,108,109
2023-Sep,Launceston,Sydney,Launceston - Sydney,124,125
2023-Sep,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,419,422
2023-Sep,Sunshine Coast,Sydney,Sunshine Coast - Sydney,143,144
2023-Sep,Melbourne,Gold Coast,Melbourne - Gold Coast,282,284
2023-Sep,Melbourne,Mildura,Melbourne - Mildura,418,421
2023-Sep,Melbourne,Perth,Melbourne - Perth,448,451
2023-Sep,Melbourne,Sydney,Melbourne - Sydney,181,182
2023-Sep,Melbourne,Townsville,Melbourne - Townsville,531,534
2023-Sep,Melbourne,Newcastle,Melbourne - Newcastle,198,199
2023-Sep,Paraburdoo,Perth,Paraburdoo - Perth,828,833
2023-Sep,Perth,Newman,Perth - Newman,770,775
2023-Sep,Perth,Port Hedland,Perth - Port Hedland,710,714
2023-Sep,Perth,Sydney,Perth - Sydney,628,632
2023-Sep,Port Macquarie,Sydney,Port Macquarie - Sydney,381,383
2023-Sep,Sydney,Tamworth,Sydney - Tamworth,420,423
2023-Sep,Sydney,Townsville,Sydney - Townsville,565,568
2023-Sep,Sydney,Wagga Wagga,Sydney - Wagga Wagga,438,441
2023-Sep,Newcastle,Gold Coast,Newcastle - Gold Coast,254,256
2023-Oct,Adelaide,Alice Springs,Adelaide - Alice Springs,727,734
2023-Oct,Adelaide,Brisbane,Adelaide - Brisbane,318,321
2023-Oct,Adelaide,Canberra,Adelaide - Canberra,528,533
2023-Oct,Adelaide,Darwin,Adelaide - Darwin,481,486
2023-Oct,Adelaide,Gold Coast,Adelaide - Gold Coast,364,368
2023-Oct,Adelaide,Melbourne,Adelaide - Melbourne,200,202
2023-Oct,Adelaide,Perth,Adelaide - Perth,381,385
2023-Oct,Adelaide,Port Lincoln,Adelaide - Port Lincoln,274,277
2023-Oct,Adelaide,Sydney,Adelaide - Sydney,298,301
2023-Oct,Albury,Sydney,Albury - Sydney,328,331
2023-Oct,Armidale,Sydney,Armidale - Sydney,421,425
2023-Oct,Avalon,Gold Coast,Avalon - Gold Coast,369,373
2023-Oct,Avalon,Sydney,Avalon - Sydney,129,130
2023-Oct,Ayers Rock,Sydney,Ayers Rock - Sydney,812,820
2023-Oct,Ballina,Sydney,Ballina - Sydney,131,132
2023-Oct,Brisbane,Cairns,Brisbane - Cairns,230,232
2023-Oct,Brisbane,Canberra,Brisbane - Canberra,350,353
2023-Oct,Brisbane,Darwin,Brisbane - Darwin,636,642
2023-Oct,Brisbane,Emerald,Brisbane - Emerald,527,532
2023-Oct,Brisbane,Gladstone,Brisbane - Gladstone,375,379
2023-Oct,Brisbane,Hamilton Island,Brisbane - Hamilton Island,372,376
2023-Oct,Brisbane,Hobart,Brisbane - Hobart,422,426
2023-Oct,Brisbane,Mackay,Brisbane - Mackay,243,245
2023-Oct,Brisbane,Melbourne,Brisbane - Melbourne,260,263
2023-Oct,Brisbane,Mount Isa,Brisbane - Mount Isa,812,820
2023-Oct,Brisbane,Perth,Brisbane - Perth,600,606
2023-Oct,Brisbane,Proserpine,Brisbane - Proserpine,444,448
2023-Oct,Brisbane,Rockhampton,Brisbane - Rockhampton,444,448
2023-Oct,Brisbane,Sydney,Brisbane - Sydney,183,185
2023-Oct,Brisbane,Townsville,Brisbane - Townsville,452,456
2023-Oct,Brisbane,Newcastle,Brisbane - Newcastle,178,180
2023-Oct,Broome,Perth,Broome - Perth,539,544
2023-Oct,Bundaberg,Brisbane,Bundaberg - Brisbane,415,419
2023-Oct,Cairns,Gold Coast,Cairns - Gold Coast,359,362
2023-Oct,Cairns,Melbourne,Cairns - Melbourne,431,435
2023-Oct,Cairns,Sydney,Cairns - Sydney,342,345
2023-Oct,Cairns,Townsville,Cairns - Townsville,300,303
2023-Oct,Canberra,Melbourne,Canberra - Melbourne,204,206
2023-Oct,Canberra,Sydney,Canberra - Sydney,437,441
2023-Oct,Coffs Harbour,Sydney,Coffs Harbour - Sydney,310,313
2023-Oct,Darwin,Melbourne,Darwin - Melbourne,660,666
2023-Oct,Darwin,Perth,Darwin - Perth,714,721
2023-Oct,Darwin,Sydney,Darwin - Sydney,476,481
2023-Oct,Devonport,Melbourne,Devonport - Melbourne,434,438
2023-Oct,Dubbo,Sydney,Dubbo - Sydney,328,331
2023-Oct,Gold Coast,Sydney,Gold Coast - Sydney,141,142
2023-Oct,Hamilton Island,Sydney,Hamilton Island - Sydney,344,347
2023-Oct,Hobart,Melbourne,Hobart - Melbourne,236,238
2023-Oct,Hobart,Sydney,Hobart - Sydney,224,226
2023-Oct,Kalgoorlie,Perth,Kalgoorlie - Perth,547,552
2023-Oct,Karratha,Perth,Karratha - Perth,888,897
2023-Oct,Launceston,Melbourne,Launceston - Melbourne,156,158
2023-Oct,Launceston,Sydney,Launceston - Sydney,236,238
2023-Oct,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,324,327
2023-Oct,Sunshine Coast,Sydney,Sunshine Coast - Sydney,165,167
2023-Oct,Melbourne,Gold Coast,Melbourne - Gold Coast,272,275
2023-Oct,Melbourne,Mildura,Melbourne - Mildura,274,277
2023-Oct,Melbourne,Perth,Melbourne - Perth,540,545
2023-Oct,Melbourne,Sydney,Melbourne - Sydney,129,130
2023-Oct,Melbourne,Townsville,Melbourne - Townsville,313,316
2023-Oct,Melbourne,Newcastle,Melbourne - Newcastle,259,262
2023-Oct,Paraburdoo,Perth,Paraburdoo - Perth,836,844
2023-Oct,Perth,Newman,Perth - Newman,830,838
2023-Oct,Perth,Port Hedland,Perth - Port Hedland,673,679
2023-Oct,Perth,Sydney,Perth - Sydney,681,688
2023-Oct,Port Macquarie,Sydney,Port Macquarie - Sydney,254,256
2023-Oct,Sydney,Tamworth,Sydney - Tamworth,366,370
2023-Oct,Sydney,Townsville,Sydney - Townsville,422,426
2023-Oct,Sydney,Wagga Wagga,Sydney - Wagga Wagga,328,331
2023-Oct,Newcastle,Gold Coast,Newcastle - Gold Coast,241,243
2023-Nov,Adelaide,Alice Springs,Adelaide - Alice Springs,703,710
2023-Nov,Adelaide,Brisbane,Adelaide - Brisbane,318,321
2023-Nov,Adelaide,Canberra,Adelaide - Canberra,522,527
2023-Nov,Adelaide,Darwin,Adelaide - Darwin,1365,1378
2023-Nov,Adelaide,Gold Coast,Adelaide - Gold Coast,542,547
2023-Nov,Adelaide,Melbourne,Adelaide - Melbourne,318,321
2023-Nov,Adelaide,Perth,Adelaide - Perth,430,434
2023-Nov,Adelaide,Port Lincoln,Adelaide - Port Lincoln,298,301
2023-Nov,Adelaide,Sydney,Adelaide - Sydney,379,383
2023-Nov,Albury,Sydney,Albury - Sydney,358,361
2023-Nov,Armidale,Sydney,Armidale - Sydney,432,436
2023-Nov,Avalon,Gold Coast,Avalon - Gold Coast,681,688
2023-Nov,Avalon,Sydney,Avalon - Sydney,157,159
2023-Nov,Ayers Rock,Sydney,Ayers Rock - Sydney,406,410
2023-Nov,Ballina,Sydney,Ballina - Sydney,128,129
2023-Nov,Brisbane,Cairns,Brisbane - Cairns,259,262
2023-Nov,Brisbane,Canberra,Brisbane - Canberra,452,456
2023-Nov,Brisbane,Darwin,Brisbane - Darwin,903,912
2023-Nov,Brisbane,Emerald,Brisbane - Emerald,541,546
2023-Nov,Brisbane,Gladstone,Brisbane - Gladstone,383,387
2023-Nov,Brisbane,Hamilton Island,Brisbane - Hamilton Island,491,496
2023-Nov,Brisbane,Hobart,Brisbane - Hobart,398,402
2023-Nov,Brisbane,Mackay,Brisbane - Mackay,237,239
2023-Nov,Brisbane,Melbourne,Brisbane - Melbourne,291,294
2023-Nov,Brisbane,Mount Isa,Brisbane - Mount Isa,786,794
2023-Nov,Brisbane,Perth,Brisbane - Perth,763,770
2023-Nov,Brisbane,Proserpine,Brisbane - Proserpine,328,331
2023-Nov,Brisbane,Rockhampton,Brisbane - Rockhampton,398,402
2023-Nov,Brisbane,Sydney,Brisbane - Sydney,225,227
2023-Nov,Brisbane,Townsville,Brisbane - Townsville,306,309
2023-Nov,Brisbane,Newcastle,Brisbane - Newcastle,179,181
2023-Nov,Broome,Perth,Broome - Perth,554,559
2023-Nov,Bundaberg,Brisbane,Bundaberg - Brisbane,425,429
2023-Nov,Cairns,Gold Coast,Cairns - Gold Coast,660,666
2023-Nov,Cairns,Melbourne,Cairns - Melbourne,473,478
2023-Nov,Cairns,Sydney,Cairns - Sydney,361,364
2023-Nov,Cairns,Townsville,Cairns - Townsville,318,321
2023-Nov,Canberra,Melbourne,Canberra - Melbourne,264,267
2023-Nov,Canberra,Sydney,Canberra - Sydney,438,442
2023-Nov,Coffs Harbour,Sydney,Coffs Harbour - Sydney,338,341
2023-Nov,Darwin,Melbourne,Darwin - Melbourne,744,751
2023-Nov,Darwin,Perth,Darwin - Perth,753,760
2023-Nov,Darwin,Sydney,Darwin - Sydney,1059,1069
2023-Nov,Dubbo,Sydney,Dubbo - Sydney,358,361
2023-Nov,Gold Coast,Sydney,Gold Coast - Sydney,184,186
2023-Nov,Hamilton Island,Sydney,Hamilton Island - Sydney,356,359
2023-Nov,Hobart,Melbourne,Hobart - Melbourne,297,300
2023-Nov,Hobart,Sydney,Hobart - Sydney,255,257
2023-Nov,Kalgoorlie,Perth,Kalgoorlie - Perth,570,575
2023-Nov,Karratha,Perth,Karratha - Perth,912,921
2023-Nov,Launceston,Melbourne,Launceston - Melbourne,298,301
2023-Nov,Launceston,Sydney,Launceston - Sydney,179,181
2023-Nov,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,255,257
2023-Nov,Sunshine Coast,Sydney,Sunshine Coast - Sydney,152,154
2023-Nov,Melbourne,Gold Coast,Melbourne - Gold Coast,194,196
2023-Nov,Melbourne,Mildura,Melbourne - Mildura,298,301
2023-Nov,Melbourne,Perth,Melbourne - Perth,650,656
2023-Nov,Melbourne,Sydney,Melbourne - Sydney,165,167
2023-Nov,Melbourne,Townsville,Melbourne - Townsville,244,246
2023-Nov,Melbourne,Newcastle,Melbourne - Newcastle,142,143
2023-Nov,Paraburdoo,Perth,Paraburdoo - Perth,858,866
2023-Nov,Perth,Newman,Perth - Newman,876,884
2023-Nov,Perth,Port Hedland,Perth - Port Hedland,857,865
